ASIN,Brand,Title,Category,Description,WordCount,Rating,ListPrice,Price,Discount,Shipping,TotalPrice,ParentASIN,ChildASIN,Available,Fulfilled,Thumbnail,URL,AffiateLink,Images,Images01,Images02,Images03,Images04,Images05,Images06,Images07,Images08,Images09,Features,EAN,UPC,SalesRank,Prime,ReviewCount,
B01N4MRC22,,JanSport Disney Right Pack Expressions Laptop Backpack (Luxe Minnie),,,0,4.6,0,0,0,0,0,,,False,False,https://images-na.ssl-images-amazon.com/images/I/51VQ1n+ZnNL._AC_US200_.jpg,https://www.amazon.com/JanSport-Disney-Expressions-Laptop-Backpack/dp/B01N4MRC22/ref=sr_1_9?ie=UTF8&amp;qid=1509881999&amp;sr=8-9&amp;keywords=disney+backpack,http://www.amazon.com/gp/product/B01N4MRC22/?tag=,,https://images-na.ssl-images-amazon.com/images/I/51VQ1n%2BZnNL.jpg,,,,,,,,,,,,0,True,21,
B074QNPDXG,,"[Sponsored]DISNEY MOANA 16"" Large Backpack Girls",,,0,4,0,0,0,0,0,,,False,False,,http://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09000292G1LMA6HY5KF5&url=https://www.amazon.com/DISNEY-MOANA-Large-Backpack-Girls/dp/B074QNPDXG/ref=sr_1_1_sspa?ie=UTF8&qid=1509881999&sr=8-1-spons&keywords=disney+backpack&psc=1&qualifier=1509881999&id=7689957728992286&widgetName=sp_atf,http://www.amazon.com/gp/product/B074QNPDXG/?tag=,,https://images-na.ssl-images-amazon.com/images/I/51-NVDoXNhL.jpg,https://images-na.ssl-images-amazon.com/images/I/41pcgs-9PfL.jpg,https://images-na.ssl-images-amazon.com/images/I/41ocnZvrJUL.jpg,https://images-na.ssl-images-amazon.com/images/I/61zywJxL0IL.jpg,,,,,,,,,0,True,2,
B06XP3F9K9,,Loungefly Disney Villains Roses And Hearts Print Backpack,,,0,5,0,0,0,0,0,,,False,False,https://images-na.ssl-images-amazon.com/images/I/41QEA4OjYfL._AC_US200_.jpg,https://www.amazon.com/Loungefly-Disney-Villains-Hearts-Backpack/dp/B06XP3F9K9/ref=sr_1_10?ie=UTF8&amp;qid=1509881999&amp;sr=8-10&amp;keywords=disney+backpack,http://www.amazon.com/gp/product/B06XP3F9K9/?tag=,,https://images-na.ssl-images-amazon.com/images/I/41QEA4OjYfL.jpg,,,,,,,,,,,,0,True,9,
B01NARXZNV,,JanSport Disney Superbreak Backpack,,,0,4.2,0,0,0,0,0,,,False,False,https://images-na.ssl-images-amazon.com/images/I/514vmWNAnjL._AC_US200_.jpg,https://www.amazon.com/JanSport-Disney-Superbreak-Backpack-Blooming/dp/B01NARXZNV/ref=sr_1_3?ie=UTF8&amp;qid=1509881999&amp;sr=8-3&amp;keywords=disney+backpack,http://www.amazon.com/gp/product/B01NARXZNV/?tag=,,https://images-na.ssl-images-amazon.com/images/I/514vmWNAnjL.jpg,https://images-na.ssl-images-amazon.com/images/I/514vmWNAnjL.jpg,https://images-na.ssl-images-amazon.com/images/I/514vmWNAnjL.jpg,https://images-na.ssl-images-amazon.com/images/I/514vmWNAnjL.jpg,https://images-na.ssl-images-amazon.com/images/I/514vmWNAnjL.jpg,,,,,,,,0,True,34,
B01MYYI7PZ,,"Disney Lilo and Stitch Allover Print Black 16"" Girls Large School Backpack-black",,,0,4.2,0,0,0,0,0,,,False,False,https://images-na.ssl-images-amazon.com/images/I/51yDWdPEpiL._AC_US200_.jpg,https://www.amazon.com/Disney-Stitch-Allover-School-Backpack-black/dp/B01MYYI7PZ/ref=sr_1_11?ie=UTF8&amp;qid=1509881999&amp;sr=8-11&amp;keywords=disney+backpack,http://www.amazon.com/gp/product/B01MYYI7PZ/?tag=,,https://images-na.ssl-images-amazon.com/images/I/51yDWdPEpiL.jpg,,,,,,,,,,,,0,False,9,
B06XVNVRLN,,Loungefly Disney Villains Backpack,,,0,5,0,0,0,0,0,,,False,False,https://images-na.ssl-images-amazon.com/images/I/61xON5mF58L._AC_US200_.jpg,https://www.amazon.com/Loungefly-Disney-Villains-Backpack-Multi/dp/B06XVNVRLN/ref=sr_1_12?ie=UTF8&amp;qid=1509881999&amp;sr=8-12&amp;keywords=disney+backpack,http://www.amazon.com/gp/product/B06XVNVRLN/?tag=,,https://images-na.ssl-images-amazon.com/images/I/61xON5mF58L.jpg,,,,,,,,,,,,0,True,8,
B06XX2N4W5,,Walt Disney World Multi Color Mickey Mouse Backpack,,,0,5,0,0,0,0,0,,,False,False,https://images-na.ssl-images-amazon.com/images/I/51BUI2zyuVL._AC_US200_.jpg,https://www.amazon.com/Disney-World-Multi-Mickey-Backpack/dp/B06XX2N4W5/ref=sr_1_4?ie=UTF8&amp;qid=1509881999&amp;sr=8-4&amp;keywords=disney+backpack,http://www.amazon.com/gp/product/B06XX2N4W5/?tag=,,https://images-na.ssl-images-amazon.com/images/I/51BUI2zyuVL.jpg,https://images-na.ssl-images-amazon.com/images/I/51wd3iE%2BPHL.jpg,,,,,,,,,,,0,True,3,
B01H7VIL1O,,Disney Girls' Minnie Mouse Mini Backpack,,,0,4.6,0,0,0,0,0,,,False,False,https://images-na.ssl-images-amazon.com/images/I/51uFbhxEedL._AC_US200_.jpg,https://www.amazon.com/Small-Backpack-Disney-Minnie-Mouse/dp/B01H7VIL1O/ref=sr_1_13?ie=UTF8&amp;qid=1509881999&amp;sr=8-13&amp;keywords=disney+backpack,http://www.amazon.com/gp/product/B01H7VIL1O/?tag=,,https://images-na.ssl-images-amazon.com/images/I/51uFbhxEedL.jpg,https://images-na.ssl-images-amazon.com/images/I/51sHGF5Of4L.jpg,https://images-na.ssl-images-amazon.com/images/I/51AV4nWgACL.jpg,,,,,,,,,,0,True,723,
B00DSTSJWG,,Disney Mickey Mouse Drawstring Backpack 2 Pack,,,0,4.3,0,0,0,0,0,,,False,False,https://images-na.ssl-images-amazon.com/images/I/51ccagGZogL._AC_US200_.jpg,https://www.amazon.com/Disney-Mickey-Mouse-Drawstring-Backpack/dp/B00DSTSJWG/ref=sr_1_5?ie=UTF8&amp;qid=1509881999&amp;sr=8-5&amp;keywords=disney+backpack,http://www.amazon.com/gp/product/B00DSTSJWG/?tag=,,https://images-na.ssl-images-amazon.com/images/I/51ccagGZogL.jpg,https://images-na.ssl-images-amazon.com/images/I/41j8FtUND9L.jpg,https://images-na.ssl-images-amazon.com/images/I/41dplS7gPUL.jpg,,,,,,,,,,0,True,356,
B005JL2KTE,,Disney Mickey Mouse Drawstring Backpack,,,0,4.1,7.98,0,0,0,0,,,False,False,https://images-na.ssl-images-amazon.com/images/I/41UU-28llyL._AC_US200_.jpg,https://www.amazon.com/Disney-Mickey-Mouse-Drawstring-Backpack/dp/B005JL2KTE/ref=sr_1_14?ie=UTF8&amp;qid=1509881999&amp;sr=8-14&amp;keywords=disney+backpack,http://www.amazon.com/gp/product/B005JL2KTE/?tag=,,https://images-na.ssl-images-amazon.com/images/I/41UU-28llyL.jpg,https://images-na.ssl-images-amazon.com/images/I/51fZH%2BmsiQL.jpg,https://images-na.ssl-images-amazon.com/images/I/51RjWKRjgAL.jpg,,,,,,,,,,0,True,69,
